association_name,canonical,score,wup,bert,method,verb_tokens,prep_tokens,adverb_tokens,all_tokens,participants,occurrence_count,low_confidence
CourseSectionEnrollment,PartOf,0.5404,0.8,0.2807,wup+bert,,,,course | section | enrollment,CourseSection + Enrollment,1,
CourseSectionGeneratesLearningActivity,Causes,0.6854,0.8,0.5707,wup+bert,generates,,,course | section | generates | learning | activity,CourseSection + LearningActivity,2,
CoveringsControlledByLightSensor,CapableOf,0.6455,1.0,0.291,wup+bert,controlled,by,,coverings | controlled | by | light | sensor,AmbientLightSensor + SmartWindowCovering,2,
CrankshaftCoupledToCamshaft,Connects,0.7957,1.0,0.5914,wup+bert,coupled,to,,crankshaft | coupled | to | camshaft,Camshaft + Crankshaft,2,
CrankshaftDrivesTransmission,UsedFor,0.8104,1.0,0.6208,wup+bert,drives,,,crankshaft | drives | transmission,Crankshaft + Transmission,2,
CrankshaftToFlywheel,UsedFor,0.377,0.0,0.377,wup+bert,,to,,crankshaft | to | flywheel,Crankshaft + Flywheel,2,YES
CrashCartOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,crash | cart | on | floor,CrashCart + Floor,2,
CupOnCupWarmer,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,cup | on | cup | warmer,CupWarmer + EspressoCup,2,
CupOnSaucer,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,cup | on | saucer,EspressoCup + Saucer,6,
CurriculumCoreCourse,ReceivesAction,0.4736,0.8571,0.09,wup+bert,,,,curriculum | core | course,CoreCourse + Curriculum,1,YES
CurriculumElective,MadeOf,0.5079,0.8333,0.1824,wup+bert,,,,curriculum | elective,Curriculum + Elective,1,
CylinderExhaustsToManifold,Causes,0.4527,0.5,0.4055,wup+bert,exhausts,to,,cylinder | exhausts | to | manifold,Cylinder + ExhaustManifold,2,YES
CylinderInBlock,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,cylinder | in | block,Cylinder + EngineBlock,2,
DataCenterInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,data | center | in | building,Building + DataCenter,4,
DecisionGeneratesCommand,Causes,0.6854,0.8,0.5707,wup+bert,generates,,,decision | generates | command,Command + Decision,2,
DecisionTriggersNotification,Causes,0.8278,1.0,0.6557,wup+bert,triggers,,,decision | triggers | notification,Decision + Notification,2,
DefibrillatorInArea,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,defibrillator | in | area,Defibrillator + EmergencyBay,2,
DepartmentAdministersProgram,CapableOf,0.7089,0.8571,0.5606,wup+bert,administers,,,department | administers | program,Department + Program,2,
DepartmentInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,department | in | building,Building + Department,2,
DepartmentInCollege,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,department | in | college,College + Department,2,
DepartmentOffersCourse,UsedFor,0.6096,0.8571,0.3621,wup+bert,offers,,,department | offers | course,Course + Department,2,
DescalingCleansBoiler,CapableOf,0.5257,0.6,0.4514,wup+bert,cleans,,,descaling | cleans | boiler,Boiler + DescalingSolution,2,
DeviceConnectedToHub,Connects,0.7552,1.0,0.5104,wup+bert,connected,to,,device | connected | to | hub,SmartBulb + SmartHomeHub; SmartHomeHub + SmartLightFixture,4,
DeviceInRoom,UsedFor,0.7062,0.875,0.5374,wup+bert,,in,,device | in | room,Room + SmartBulb,2,
DeviceOnHub,Connects,0.6023,0.7778,0.4268,wup+bert,,on,,device | on | hub,SmartBulb + SmartHomeHub,2,
DeviceOnNetwork,Connects,0.5418,0.7778,0.3057,wup+bert,,on,,device | on | network,SmartBulb + SmartRouter,2,
DiagnosisTreatment,Causes,0.4715,0.7273,0.2157,wup+bert,,,,diagnosis | treatment,Diagnosis + Treatment,1,YES
DiagnosticClusterContainsImagingSuite,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,diagnostic | cluster | contains | imaging | suite,DiagnosticCluster + ImagingSuite,2,
DiagnosticTestLabOrder,CapableOf,0.5449,1.0,0.0898,wup+bert,,,,diagnostic | test | lab | order,DiagnosticTest + LabOrder,1,
DietaryServesUnit,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,dietary | serves | unit,DietaryService + NursingUnit,2,
DiffOutputToHalfShaft,RelatedTo,0.2884,0.4,0.1769,fallback,,to,,diff | output | to | half | shaft,Differential + HalfShaft,2,YES
DifferentialConnectedToAxleAssembly,Connects,0.8664,1.0,0.7328,wup+bert,connected,to,,differential | connected | to | axle | assembly,AxleAssembly + Differential,2,
DifferentialDrivesHubAssembly,UsedFor,0.8104,1.0,0.6208,wup+bert,drives,,,differential | drives | hub | assembly,Differential + HubAssembly,2,
DifferentialToAxleLink,UsedFor,0.3959,0.0,0.3959,wup+bert,,to,,differential | to | axle | link,Axle + Differential,2,YES
DifferentialToHalfShafts,CapableOf,0.3698,0.0,0.3698,wup+bert,,to,,differential | to | half | shafts,Differential + HalfShaft,2,YES
DimmerControlsBulb,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,dimmer | controls | bulb,DimmerSwitch + SmartBulb,4,
DimmerControlsFixture,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,dimmer | controls | fixture,DimmerSwitch + SmartLightFixture,2,
DimmerControlsStrip,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,dimmer | controls | strip,DimmerSwitch + LEDLightStrip,2,
DiningHallInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,dining | hall | in | building,Building + DiningHall,2,
DiningInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,dining | in | building,Building + DiningHall,2,
DiningUnitServesPerson,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,dining | unit | serves | person,DiningUnit + Person,2,
DispenserInMedRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,dispenser | in | med | room,AutomatedMedicationDispenser + MedicationRoom,2,
DispenserInPharmacy,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,dispenser | in | pharmacy,AutomatedMedicationDispenser + PharmacySpace,2,
DistributorLevelsBasket,CapableOf,0.6161,0.8,0.4321,wup+bert,levels,,,distributor | levels | basket,Distributor + FilterBasket,2,
DocCameraInClassroom,Causes,0.6523,0.875,0.4297,wup+bert,,in,,doc | camera | in | classroom,Classroom + DocumentCamera,2,
DoorLockObservedByContactSensor,ReceivesAction,0.8241,1.0,0.6483,wup+bert,observed,by,,door | lock | observed | by | contact | sensor,ContactSensor + DoorLock,2,
DoorLockOnDoor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,door | lock | on | door,Room + SmartDoorLock,2,
DoorOnFrame,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,door | on | frame,Door + Frame,2,
DormDining,MadeOf,0.4955,0.7143,0.2766,wup+bert,,,,dorm | dining,DiningHall + Dormitory,1,YES
DormHealthCenter,MadeOf,0.4955,0.7143,0.2766,wup+bert,,,,dorm | health | center,Dormitory + HealthCenter,1,YES
DormRoomInHall,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,dorm | room | in | hall,DormRoom + ResidenceHall,2,
DormTransportation,MadeOf,0.4955,0.7143,0.2766,wup+bert,,,,dorm | transportation,Dormitory + TransportationService,1,YES
DosingCupOnPortafilter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,dosing | cup | on | portafilter,DosingCup + Portafilter,2,
DripTrayUnderTap,AtLocation,1.0,0.0,1.0,spatial_prep,,under,,drip | tray | under | tap,BeerTap + DripTray,2,
DripperOnServer,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,dripper | on | server,CoffeeServer + PourOverDripper,6,
DriveshaftDrivesDifferential,UsedFor,0.8104,1.0,0.6208,wup+bert,drives,,,driveshaft | drives | differential,Differential + Driveshaft,2,
DriveshaftToDifferential,CapableOf,0.3203,0.0,0.3203,wup+bert,,to,,driveshaft | to | differential,Differential + Driveshaft,2,YES
DriveshaftToDifferentialLink,CapableOf,0.3203,0.0,0.3203,wup+bert,,to,,driveshaft | to | differential | link,Differential + Driveshaft,2,YES
DryHopBasketInFermenter,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,dry | hop | basket | in | fermenter,DryHopBasket + Fermenter,2,
ECUControlsFuelDelivery,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,ecu | controls | fuel | delivery,ECU + FuelDeliverySystem,2,
ECUControlsIgnition,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,ecu | controls | ignition,ECU + IgnitionSystem,2,
ECUControlsSensor,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,ecu | controls | sensor,ECU + Sensor,2,
ECUMonitorsSensor,ReceivesAction,0.6774,1.0,0.3549,wup+bert,monitors,,,ecu | monitors | sensor,ECU + Sensor,2,
EHRRunsOnServer,UsedFor,0.7465,1.0,0.4931,wup+bert,runs,on,,ehr | runs | on | server,EHRSystem + Server,4,
EVChargerOnCircuit,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,ev | charger | on | circuit,EVCharger + SmartCircuitBreaker,2,
ElectricMeterMeasuresHome,ReceivesAction,0.7217,1.0,0.4435,wup+bert,measures,,,electric | meter | measures | home,ElectricMeter + Home,2,
ElectricalOutletPowersCoffeeMaker,UsedFor,0.8222,1.0,0.6444,wup+bert,powers,,,electrical | outlet | powers | coffee | maker,CoffeeMaker + ElectricalOutlet,2,
ElectricalPowerAssemblySupportsIgnitionAssembly,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,electrical | power | assembly | supports | ignition | assembly,ElectricalPowerAssembly + IgnitionAssembly,2,
ElectrosurgicalUnitInOR,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,electrosurgical | unit | in | or,ElectrosurgicalUnit + OperatingRoom,2,
ElevatorBankConnectsInpatientClusterAndProceduralCluster,Connects,0.8834,1.0,0.7668,wup+bert,connects,,,elevator | bank | connects | inpatient | cluster | and | procedural | cluster,ElevatorBank + InpatientCluster + ProceduralCluster,2,
ElevatorInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,elevator | in | building,Building + Elevator,2,
EmergencyOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,emergency | on | floor,EmergencyServicesLayer + Floor,2,
EmergencyPowerBacksUpICU,HasA,0.4184,0.6667,0.1701,wup+bert,backs,up,,emergency | power | backs | up | icu,EmergencyPowerSystem + IntensiveCareUnit,2,YES
EmergencyPowerBacksUpOR,HasA,0.4767,0.6667,0.2868,wup+bert,backs,up,,emergency | power | backs | up | or,EmergencyPowerSystem + OperatingRoom,2,YES
EmergencyPowerServesDataCenter,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,emergency | power | serves | data | center,DataCenter + EmergencyPowerSystem,2,
EmergencyPowerServesICU,UsedFor,0.6889,1.0,0.3777,wup+bert,serves | icu,,,emergency | power | serves | icu,EmergencyPowerSystem + IntensiveCareUnit,2,
EmergencyPowerServesOR,UsedFor,0.7641,1.0,0.5283,wup+bert,serves,,,emergency | power | serves | or,EmergencyPowerSystem + OperatingRoom,2,
EncounterDiagnosis,HasPrerequisite,0.5774,1.0,0.1548,wup+bert,,,,encounter | diagnosis,ClinicalEncounter + Diagnosis,1,
EncounterImagingStudy,CapableOf,0.3466,0.5714,0.1219,wup+bert,imaging,,,encounter | imaging | study,ClinicalEncounter + ImagingStudy,1,YES
EncounterLabResult,Causes,0.6266,1.0,0.2532,wup+bert,,,,encounter | lab | result,ClinicalEncounter + LabResult,1,
EncounterVitalSigns,ReceivesAction,0.4704,0.6667,0.2742,wup+bert,signs,,,encounter | vital | signs,ClinicalEncounter + VitalSigns,1,YES
EngineAdjacentToRadiator,AtLocation,0.5092,0.5,0.5185,wup+bert,,to,,engine | adjacent | to | radiator,Engine + Radiator,2,
EngineAssemblyAdjacentToAirIntakeAssembly,AtLocation,0.5092,0.5,0.5185,wup+bert,,to,,engine | assembly | adjacent | to | air | intake | assembly,AirIntakeAssembly + EngineAssembly,2,
EngineAssemblyAdjacentToCoolingAssembly,AtLocation,0.5092,0.5,0.5185,wup+bert,,to,,engine | assembly | adjacent | to | cooling | assembly,CoolingAssembly + EngineAssembly,2,
EngineAssemblyAdjacentToExhaustAssembly,AtLocation,0.5092,0.5,0.5185,wup+bert,,to,,engine | assembly | adjacent | to | exhaust | assembly,EngineAssembly + ExhaustAssembly,2,
EngineAssemblyAdjacentToFuelDeliveryAssembly,AtLocation,0.5092,0.5,0.5185,wup+bert,,to,,engine | assembly | adjacent | to | fuel | delivery | assembly,EngineAssembly + FuelDeliveryAssembly,2,
EngineAssemblyAdjacentToIgnitionAssembly,AtLocation,0.5092,0.5,0.5185,wup+bert,,to,,engine | assembly | adjacent | to | ignition | assembly,EngineAssembly + IgnitionAssembly,2,
EngineAssemblyCoupledToTransmissionAssembly,Connects,0.7957,1.0,0.5914,wup+bert,coupled,to,,engine | assembly | coupled | to | transmission | assembly,EngineAssembly + TransmissionAssembly,2,
EngineBlockConnectedToCylinderHead,Connects,0.8664,1.0,0.7328,wup+bert,connected,to,,engine | block | connected | to | cylinder | head,CylinderHead + EngineBlock,2,
EngineBlockContainsPistonAssembly,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,engine | block | contains | piston | assembly,EngineBlock + PistonAssembly,2,
EngineCoupledToGearbox,Connects,0.7957,1.0,0.5914,wup+bert,coupled,to,,engine | coupled | to | gearbox,Engine + Gearbox,2,
EngineDrivesACCompressor,UsedFor,0.7052,1.0,0.4104,wup+bert,drives,,,engine | drives | ac | compressor,ACCompressor + Crankshaft,4,
EngineDrivesAlternator,UsedFor,0.8104,1.0,0.6208,wup+bert,drives,,,engine | drives | alternator,Alternator + Crankshaft; Alternator + Engine,6,
EngineDrivesWaterPump,UsedFor,0.7052,1.0,0.4104,wup+bert,drives,,,engine | drives | water | pump,Crankshaft + WaterPump,2,
EngineMountSupportsEngine,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,engine | mount | supports | engine,Engine + EngineMount,2,
EngineToExhaustConnection,Causes,0.4584,0.0,0.4584,wup+bert,,to,,engine | to | exhaust | connection,Engine + ExhaustSystem,2,YES
EngineToTransmissionCoupling,UsedFor,0.4149,0.0,0.4149,wup+bert,,to,,engine | to | transmission | coupling,Engine + Transmission,2,YES
EquipmentInLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,equipment | in | lab,LabEquipment + Laboratory,2,
EquipmentMonitoring,ReceivesAction,0.8539,1.0,0.7079,wup+bert,,,,equipment | monitoring,MedicalEquipment + PatientMonitor,1,
EquipmentRoleIncludesMachineRole,HasA,0.8471,1.0,0.6943,wup+bert,includes,,,equipment | role | includes | machine | role,EquipmentRole + MachineRole,2,
EquipmentSterilization,MadeOf,0.5542,0.9333,0.175,wup+bert,,,,equipment | sterilization,MedicalEquipment + SterilizationUnit,1,
EspressoDispensesToCup,UsedFor,0.4391,0.6667,0.2116,wup+bert,dispenses,to,,espresso | dispenses | to | cup,EspressoCup + PortafilterSpout,4,YES
EspressoDispensesToLatteGlass,UsedFor,0.4391,0.6667,0.2116,wup+bert,dispenses,to,,espresso | dispenses | to | latte | glass,LatteGlass + PortafilterSpout,2,YES
ExhaustDrivesTurbocharger,UsedFor,0.8104,1.0,0.6208,wup+bert,drives,,,exhaust | drives | turbocharger,ExhaustManifold + Turbocharger; ExhaustPath + Turbocharger,4,
ExhaustManifoldAttachedToCylinderHead,Connects,0.7999,1.0,0.5998,wup+bert,attached,to,,exhaust | manifold | attached | to | cylinder | head,CylinderHead + ExhaustManifold,2,
ExhaustReceivesCombustionGases,ReceivesAction,0.5971,1.0,0.1941,wup+bert,receives | gases,,,exhaust | receives | combustion | gases,CombustionAssembly + ExhaustPath,2,
FacilitiesSystemSupportsDepartment,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,facilities | system | supports | department,Department + FacilitiesSystem,2,
FacultyHasOffice,HasA,0.7055,1.0,0.4111,wup+bert,has,,,faculty | has | office,FacultyMember + Room,4,
FacultyInDepartment,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,faculty | in | department,Department + FacultyMember,6,
FacultyInResearchCenter,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,faculty | in | research | center,FacultyMember + ResearchCenter,4,
FacultyLeadsResearchCenter,CapableOf,0.7465,1.0,0.4931,wup+bert,leads,,,faculty | leads | research | center,FacultyMember + ResearchCenter,2,
FacultyMemberAssignedToDepartment,HasA,0.6855,1.0,0.3709,wup+bert,assigned,to,,faculty | member | assigned | to | department,Department + FacultyMember,2,
FacultyMemberTeachesCourse,ReceivesAction,0.5195,0.7273,0.3118,wup+bert,teaches,,,faculty | member | teaches | course,Course + FacultyMember,2,
FacultyPIOnGrant,CapableOf,0.6724,0.8889,0.456,wup+bert,,on,,faculty | pi | on | grant,FacultyMember + Grant,4,
FacultyTeachesSection,ReceivesAction,0.5195,0.7273,0.3118,wup+bert,teaches,,,faculty | teaches | section,CourseSection + FacultyMember,6,
FalseBottomInMashTun,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,false | bottom | in | mash | tun,FalseBottom + MashTun,2,
FanInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,fan | in | room,Room + SmartFan,4,
FermentationBucketContainsStopper,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,fermentation | bucket | contains | stopper,FermentationBucket + Stopper,2,
FermenterInChamber,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,fermenter | in | chamber,FermentationChamber + Fermenter,6,
FermenterToSecondary,CapableOf,0.5772,0.0,0.5772,wup+bert,,to,,fermenter | to | secondary,Fermenter + Fermenter,2,
FillerFillsBottle,UsedFor,0.6489,0.8571,0.4407,wup+bert,fills,,,filler | fills | bottle,Bottle + BottleFiller,6,
FilterCapOnAeropress,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,filter | cap | on | aeropress,AeropressChamber + AeropressFilterCap,2,
FilterFeedsReservoir,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,filter | feeds | reservoir,WaterFilter + WaterReservoir,2,
FilterInDripper,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,filter | in | dripper,PaperFilter + PourOverDripper,6,
FilterInlineBetweenVessels,Connects,0.4537,0.5,0.4075,wup+bert,,between,,filter | inline | between | vessels,BeerFilter + SiliconeTubing,2,YES
FinanceSystemAccountsForStudent,UsedFor,0.5474,0.5714,0.5235,wup+bert,accounts,for,,finance | system | accounts | for | student,FinanceSystem + Student,2,
FloorContainsCorridor,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,floor | contains | corridor,Corridor + Floor,2,
FloorContainsImagingRoom,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,floor | contains | imaging | room,Floor + ImagingRoom,2,
FloorContainsNurseStation,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,floor | contains | nurse | station,Floor + NurseStation,2,
FloorContainsOperatingRoom,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,floor | contains | operating | room,Floor + OperatingRoom,2,
FloorContainsPatientRoom,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,floor | contains | patient | room,Floor + PatientRoom,2,
FloorContainsSupplyRoom,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,floor | contains | supply | room,Floor + SupplyRoom,2,
FloorInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,floor | in | building,Building + Floor,4,
FloorInHome,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,floor | in | home,Floor + Home,2,
FlowMeterMeasuresFlow,ReceivesAction,0.7217,1.0,0.4435,wup+bert,measures,,,flow | meter | measures | flow,FlowMeter + GroupHead,2,
FlowSensorMonitorsPipe,ReceivesAction,0.6431,1.0,0.2862,wup+bert,monitors | pipe,,,flow | sensor | monitors | pipe,SmartWaterValve + WaterFlowSensor,2,
FlowSensorOnValve,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,flow | sensor | on | valve,SmartWaterValve + WaterFlowSensor,2,
FlywheelToClutchToTransmission,UsedFor,0.3747,0.0,0.3747,wup+bert,,to | to,,flywheel | to | clutch | to | transmission,ClutchAssembly + Flywheel + Transmission,2,YES
FreezerInLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,freezer | in | lab,BloodBankFreezer + ClinicalLaboratory,2,
FrenchPressPoursToCup,UsedFor,0.5886,0.8571,0.3201,wup+bert,pours | cup,to,,french | press | pours | to | cup,CoffeeMug + FrenchPress,4,
FridgeInMedRoom,AtLocation,0.5933,0.875,0.3116,wup+bert,,in,,fridge | in | med | room,MedicationRefrigerator + MedicationRoom,2,
FrontCornerModuleContainsBrakeModule,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,front | corner | module | contains | brake | module,BrakeModule + FrontCornerModule,2,
FrontCornerModuleContainsSteeringModule,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,front | corner | module | contains | steering | module,FrontCornerModule + SteeringModule,2,
FrontCornerModuleContainsSuspensionModule,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,front | corner | module | contains | suspension | module,FrontCornerModule + SuspensionModule,2,
FrontCornerModuleContainsWheelTireModule,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,front | corner | module | contains | wheel | tire | module,FrontCornerModule + WheelTireModule,2,
FuelDeliveryFeedsCombustion,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,fuel | delivery | feeds | combustion,CombustionAssembly + FuelDeliverySystem,2,
FuelPumpSuppliesInjectorRail,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,fuel | pump | supplies | injector | rail,FuelPump + InjectorRail,2,
FuelPumpToFuelRail,UsedFor,0.3766,0.0,0.3766,wup+bert,,to,,fuel | pump | to | fuel | rail,FuelFilter + FuelPump + FuelRail,2,YES
FuelRailSuppliesInjectors,UsedFor,0.6736,1.0,0.3472,wup+bert,supplies,,,fuel | rail | supplies | injectors,FuelInjector + FuelRail,2,
FuelSystemToEngineSupply,UsedFor,0.5177,0.0,0.5177,wup+bert,,to,,fuel | system | to | engine | supply,Engine + FuelSystem,2,
FuelTankSuppliesFuelPump,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,fuel | tank | supplies | fuel | pump,FuelPump + FuelTank,2,
FuelTankToFuelPump,UsedFor,0.4068,0.0,0.4068,wup+bert,,to,,fuel | tank | to | fuel | pump,FuelPump + FuelTank,2,YES
FunnelInMokaBottom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,funnel | in | moka | bottom,MokaBottomChamber + MokaFilterFunnel,2,
FunnelOnPortafilter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,funnel | on | portafilter,DosingFunnel + Portafilter,2,
GasOutletInICU,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,gas | outlet | in | icu,ICUBay + MedicalGasOutlet,2,
GasOutletInOR,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,gas | outlet | in | or,MedicalGasOutlet + OperatingRoom,2,
GasOutletInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,gas | outlet | in | room,MedicalGasOutlet + PatientRoom,2,
GasOutletVentilator,AtLocation,0.4994,0.8571,0.1417,wup+bert,,,,gas | outlet | ventilator,MedicalGasOutlet + Ventilator,1,YES
GasSystemSuppliesOR,UsedFor,0.7817,1.0,0.5634,wup+bert,supplies,,,gas | system | supplies | or,MedicalGasSystem + OperatingRoom,2,
GasSystemSuppliesOutlets,UsedFor,0.7168,1.0,0.4336,wup+bert,supplies,,,gas | system | supplies | outlets,MedicalGasOutlet + MedicalGasSystem,2,
GasSystemSuppliesUnit,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,gas | system | supplies | unit,MedicalGasSystem + NursingUnit,2,
GasketInGroupHead,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,gasket | in | group | head,GroupGasket + GroupHead,2,
GasketSealsMoka,Connects,0.583,0.8333,0.3326,wup+bert,seals,,,gasket | seals | moka,MokaBottomChamber + MokaGasket + MokaTopChamber,2,
GaugeReadsBoiler,ReceivesAction,0.727,1.0,0.4539,wup+bert,reads,,,gauge | reads | boiler,Boiler + PressureGauge,2,
GearSetInTransmission,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,gear | set | in | transmission,GearSet + Transmission,2,
GearboxDrivesDriveshaft,UsedFor,0.8104,1.0,0.6208,wup+bert,drives,,,gearbox | drives | driveshaft,Driveshaft + Gearbox,2,
GearboxOutputToShaft,CapableOf,0.3986,0.4,0.3972,wup+bert,,to,,gearbox | output | to | shaft,Gearbox + PropellerShaft,2,YES
GeneratorAtBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,at,,generator | at | building,Building + Generator,2,
GeneratorBacksUpBuilding,HasA,0.4909,0.6667,0.3152,wup+bert,backs,up,,generator | backs | up | building,Building + Generator,2,YES
GeneratorBacksUpDataCenter,HasA,0.4909,0.6667,0.3152,wup+bert,backs,up,,generator | backs | up | data | center,DataCenter + Generator,2,YES
GlassPanelInBody,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,glass | panel | in | body,Frame + GlassPanel,2,
GrainBagInMashTun,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,grain | bag | in | mash | tun,GrainBag + MashTun,2,
GrainBagStoredAdjacentToKettle,ReceivesAction,0.3639,0.5714,0.1564,wup+bert,stored,to,,grain | bag | stored | adjacent | to | kettle,GrainBag + Kettle,2,YES
GrainBinFeedsMill,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,grain | bin | feeds | mill,GrainBin + GrainMill,2,
GrantFundsCenter,UsedFor,0.6675,0.8571,0.4779,wup+bert,funds,,,grant | funds | center,Grant + ResearchCenter,4,
GrantFundsResearchCenter,UsedFor,0.6675,0.8571,0.4779,wup+bert,funds,,,grant | funds | research | center,Grant + ResearchCenter,2,
GrinderBrushCleansBurrs,CapableOf,0.4268,0.6,0.2537,wup+bert,cleans | burrs,,,grinder | brush | cleans | burrs,BurrSet + GrinderBrush,2,YES
GrinderGrindsToBrewBasket,Causes,0.4017,0.4,0.4033,wup+bert,grinds,to,,grinder | grinds | to | brew | basket,BrewBasket + CoffeeGrinder,2,YES
GrinderGrindsToPortafilter,Causes,0.4017,0.4,0.4033,wup+bert,grinds,to,,grinder | grinds | to | portafilter,CoffeeGrinder + Portafilter,2,YES
GrinderToAeropress,CapableOf,0.3392,0.0,0.3392,wup+bert,,to,,grinder | to | aeropress,AeropressKit + CoffeeGrinder,2,YES
GrinderToBrewBasket,UsedFor,0.3771,0.0,0.3771,wup+bert,,to,,grinder | to | brew | basket,BrewBasket + CoffeeGrinder,2,YES
GrinderToColdBrew,CapableOf,0.3247,0.0,0.3247,wup+bert,,to,,grinder | to | cold | brew,CoffeeGrinder + ColdBrewMaker,2,YES
GrinderToDripMachine,UsedFor,0.5365,0.0,0.5365,wup+bert,,to,,grinder | to | drip | machine,CoffeeGrinder + DripBrewMachine,2,
GrinderToFrenchPress,CapableOf,0.3236,0.0,0.3236,wup+bert,,to,,grinder | to | french | press,CoffeeGrinder + FrenchPress,2,YES
GrinderToMokaPot,RelatedTo,0.2912,0.0,0.2912,fallback,,to,,grinder | to | moka | pot,CoffeeGrinder + MokaPot,2,YES
GrinderToPortafilter,CapableOf,0.3295,0.0,0.3295,wup+bert,,to,,grinder | to | portafilter,CoffeeGrinder + Portafilter,4,YES
GrinderToPourOver,Causes,0.3596,0.0,0.3596,wup+bert,,to,,grinder | to | pour | over,CoffeeGrinder + PourOverDripper,2,YES
GroundsToKnockBox,AtLocation,0.5595,0.8,0.319,wup+bert,grounds,to,,grounds | to | knock | box,KnockBox + Portafilter,4,
HLTSuppliesMashTun,UsedFor,0.6965,1.0,0.3931,wup+bert,supplies,,,hlt | supplies | mash | tun,HotLiquorTank + MashTun,4,
